"","date","n"
"115",2020-05-28,1
"116",2020-06-01,3
"117",2020-06-13,2
"118",2020-06-23,1
"119",2020-06-26,1
"120",2020-06-27,4
"121",2020-06-30,7
"122",2020-07-01,2
"123",2020-07-05,3
"124",2020-07-06,2
"125",2020-07-07,1
"126",2020-07-08,2
"127",2020-07-09,1
"128",2020-07-11,1
"129",2020-07-13,1
"130",2020-07-14,1
"131",2020-07-15,3
"132",2020-07-24,2
"133",2020-07-25,4
"134",2020-07-26,1
"135",2020-07-29,3
"136",2020-07-30,1
"137",2020-08-04,1
"138",2020-08-07,1
"139",2020-08-13,2
"140",2020-08-15,2
"141",2020-08-20,1
"142",2020-08-21,1
"143",2020-08-22,1
"144",2020-08-24,1
"145",2020-08-25,1
"146",2020-08-27,3
"147",2020-08-31,1
"148",2020-09-02,2
"149",2020-09-07,6
"150",2020-09-08,1
"151",2020-09-10,2
"152",2020-09-15,3
"153",2020-09-21,1
"154",2020-09-22,1
"155",2020-09-25,1
"156",2020-09-26,4
"157",2020-09-27,3
"158",2020-09-28,4
"159",2020-09-29,1
"160",2020-09-30,1
"161",2020-10-04,1
"162",2020-10-05,2
"163",2020-10-07,2
"164",2020-10-08,2
"165",2020-10-10,1
"166",2020-10-12,1
"167",2020-10-13,1
"168",2020-10-14,1
"169",2020-10-19,2
"170",2020-10-23,3
"171",2020-10-24,1
"172",2020-10-27,2
"173",2020-10-28,2
"174",2020-10-30,2
"175",2020-10-31,1
"176",2020-11-01,1
"177",2020-11-04,1
"178",2020-11-09,3
"179",2020-11-12,3
"180",2020-11-14,2
"181",2020-11-16,1
"182",2020-11-19,1
"183",2020-11-20,1
"184",2020-11-21,3
"185",2020-11-23,1
"186",2020-11-26,1
"187",2020-11-28,4
"188",2020-11-29,4
"189",2020-11-30,1
"190",2020-12-01,1
"191",2020-12-02,1
"192",2020-12-04,1
"193",2020-12-05,2
"194",2020-12-08,5
"195",2020-12-09,1
"196",2020-12-10,3
"197",2020-12-11,3
"198",2020-12-13,1
"199",2020-12-14,2
"200",2020-12-18,1
"201",2020-12-21,1
"202",2020-12-23,4
"203",2020-12-25,1
"204",2020-12-26,1
"205",2020-12-27,1
"206",2020-12-28,2
"207",2020-12-29,4
"208",2020-12-31,2
"209",2021-01-01,2
"210",2021-01-02,3
"211",2021-01-03,2
"212",2021-01-04,23
"213",2021-01-05,18
"214",2021-01-06,1
"215",2021-01-07,1
"216",2021-01-08,4
"217",2021-01-10,1
"218",2021-01-11,5
"219",2021-01-12,1
"220",2021-01-13,2
"221",2021-01-14,10
"222",2021-01-15,20
"223",2021-01-16,4
"224",2021-01-17,6
"225",2021-01-18,14
"226",2021-01-19,3
"227",2021-01-20,2
"228",2021-01-21,1
"229",2021-01-23,2
"230",2021-01-24,2
"231",2021-01-25,3
"232",2021-01-26,3
"233",2021-01-27,5
"234",2021-01-28,2
"235",2021-01-29,4
"236",2021-01-30,4
"237",2021-01-31,1
"238",2021-02-02,4
"239",2021-02-03,3
"240",2021-02-04,3
"241",2021-02-05,5
"242",2021-02-06,5
"243",2021-02-07,15
"244",2021-02-08,10
"245",2021-02-09,5
"246",2021-02-10,10
"247",2021-02-11,7
"248",2021-02-13,4
"249",2021-02-14,1
"250",2021-02-15,1
"251",2021-02-16,3
"252",2021-02-18,2
"253",2021-02-19,5
"254",2021-02-20,7
"255",2021-02-21,2
"256",2021-02-22,1
"257",2021-02-23,5
"258",2021-02-24,1
"259",2021-02-25,2
"260",2021-02-26,2
"261",2021-02-27,3
"262",2021-02-28,2
"263",2021-03-03,2
"264",2021-03-04,8
"265",2021-03-05,1
"266",2021-03-06,5
"267",2021-03-07,11
"268",2021-03-08,26
"269",2021-03-09,5
"270",2021-03-10,3
"271",2021-03-11,3
"272",2021-03-12,9
"273",2021-03-13,7
"274",2021-03-14,31
"275",2021-03-15,13
"276",2021-03-16,10
"277",2021-03-17,21
"278",2021-03-18,10
"279",2021-03-19,4
"280",2021-03-21,1
"281",2021-03-22,1
"282",2021-03-23,3
"283",2021-03-24,13
"284",2021-03-25,6
"285",2021-03-26,3
"286",2021-03-27,3
"287",2021-03-28,11
"288",2021-03-29,8
"289",2021-03-30,9
"290",2021-03-31,4
"291",2021-04-02,5
"292",2021-04-03,1
"293",2021-04-04,4
"294",2021-04-05,5
"295",2021-04-06,5
"296",2021-04-07,2
"297",2021-04-09,1
"298",2021-04-10,1
"299",2021-04-11,2
"300",2021-04-12,1
"301",2021-04-13,5
"302",2021-04-14,45
"303",2021-04-15,6
"304",2021-04-16,4
"305",2021-04-17,3
"306",2021-04-18,6
"307",2021-04-19,3
"308",2021-04-20,12
"309",2021-04-21,6
"310",2021-04-22,10
"311",2021-04-23,17
"312",2021-04-24,8
"313",2021-04-25,14
"314",2021-04-26,11
"315",2021-04-27,24
"316",2021-04-28,12
"317",2021-04-29,49
"318",2021-04-30,29
"319",2021-05-01,58
"320",2021-05-02,25
"321",2021-05-03,12
"322",2021-05-04,56
"323",2021-05-05,38
"324",2021-05-06,5
"325",2021-05-07,22
"326",2021-05-08,11
"327",2021-05-09,12
"328",2021-05-10,20
"329",2021-05-11,13
"330",2021-05-12,22
"331",2021-05-13,14
"332",2021-05-14,23
"333",2021-05-15,12
"334",2021-05-16,18
"335",2021-05-17,15
"336",2021-05-18,11
"337",2021-05-19,16
"338",2021-05-20,91
"339",2021-05-21,36
"340",2021-05-22,19
"341",2021-05-23,31
"342",2021-05-24,19
"343",2021-05-25,8
"344",2021-05-26,57
"345",2021-05-27,22
"346",2021-05-28,9
"347",2021-05-29,8
"348",2021-05-30,3
"349",2021-05-31,7
"350",2021-06-01,15
"351",2021-06-02,8
"352",2021-06-03,21
"353",2021-06-04,9
"354",2021-06-05,19
"355",2021-06-06,19
"356",2021-06-07,12
"357",2021-06-08,11
"358",2021-06-09,3
"359",2021-06-10,29
"360",2021-06-11,43
"361",2021-06-12,18
"362",2021-06-13,38
"363",2021-06-14,13
"364",2021-06-15,20
"365",2021-06-16,9
"366",2021-06-17,16
"367",2021-06-18,14
"368",2021-06-19,5
"369",2021-06-20,11
"370",2021-06-21,5
"371",2021-06-22,6
"372",2021-06-23,9
"373",2021-06-24,15
"374",2021-06-25,8
"375",2021-06-26,4
"376",2021-06-27,11
"377",2021-06-28,12
"378",2021-06-29,6
"379",2021-06-30,16
"380",2021-07-01,7
"381",2021-07-02,21
"382",2021-07-03,15
"383",2021-07-04,14
"384",2021-07-05,10
"385",2021-07-06,11
"386",2021-07-07,10
"387",2021-07-08,4
"388",2021-07-09,11
"389",2021-07-10,1
"390",2021-07-11,2
"391",2021-07-12,19
"392",2021-07-13,16
"393",2021-07-14,4
"394",2021-07-15,9
"395",2021-07-16,13
"396",2021-07-17,8
"397",2021-07-18,19
"398",2021-07-19,5
"399",2021-07-20,18
"400",2021-07-21,3
"401",2021-07-23,15
"402",2021-07-24,2
"403",2021-07-25,1
"404",2021-07-26,7
"405",2021-07-27,10
"406",2021-07-28,8
"407",2021-07-29,8
"408",2021-07-30,10
"409",2021-07-31,5
"410",2021-08-01,4
"411",2021-08-02,7
"412",2021-08-03,7
"413",2021-08-04,11
"414",2021-08-05,5
"415",2021-08-06,3
"416",2021-08-07,8
"417",2021-08-08,2
"418",2021-08-09,18
"419",2021-08-10,2
"420",2021-08-11,14
"421",2021-08-12,7
"422",2021-08-13,6
"423",2021-08-14,9
"424",2021-08-15,5
"425",2021-08-16,5
"426",2021-08-17,5
"427",2021-08-18,3
"428",2021-08-19,6
"429",2021-08-20,8
"430",2021-08-21,9
"431",2021-08-22,3
"432",2021-08-23,5
"433",2021-08-24,2
"434",2021-08-25,5
"435",2021-08-26,2
"436",2021-08-27,5
"437",2021-08-28,10
"438",2021-08-29,7
"439",2021-08-30,3
"440",2021-08-31,10
"441",2021-09-01,19
"442",2021-09-02,4
"443",2021-09-03,9
"444",2021-09-04,8
"445",2021-09-05,1
"446",2021-09-06,6
"447",2021-09-07,11
"448",2021-09-08,11
"449",2021-09-09,4
"450",2021-09-10,4
"451",2021-09-11,4
"452",2021-09-12,6
"453",2021-09-13,10
"454",2021-09-14,17
"455",2021-09-15,14
"456",2021-09-16,24
"457",2021-09-17,12
"458",2021-09-18,8
"459",2021-09-19,9
"460",2021-09-20,8
"461",2021-09-21,6
"462",2021-09-22,17
"463",2021-09-23,5
"464",2021-09-24,2
"465",2021-09-25,26
"466",2021-09-26,4
"467",2021-09-27,6
"468",2021-09-28,10
"469",2021-09-29,4
"470",2021-09-30,5
"471",2021-10-01,7
"472",2021-10-02,8
"473",2021-10-03,2
"474",2021-10-04,3
"475",2021-10-05,9
"476",2021-10-06,8
"477",2021-10-07,14
"478",2021-10-08,1
"479",2021-10-09,11
"480",2021-10-10,13
"481",2021-10-11,33
"482",2021-10-12,18
"483",2021-10-13,12
"484",2021-10-14,13
"485",2021-10-15,66
"486",2021-10-16,83
"487",2021-10-17,28
"488",2021-10-18,46
"489",2021-10-19,21
"490",2021-10-20,8
"491",2021-10-21,5
"492",2021-10-22,7
"493",2021-10-23,39
"494",2021-10-24,26
"495",2021-10-25,33
"496",2021-10-26,12
"497",2021-10-27,22
"498",2021-10-28,9
"499",2021-10-29,2
"500",2021-10-30,10
"501",2021-10-31,15
"502",2021-11-01,7
"503",2021-11-02,10
"504",2021-11-03,15
"505",2021-11-04,7
"506",2021-11-05,7
"507",2021-11-06,2
"508",2021-11-07,1
"509",2021-11-08,2
"510",2021-11-09,8
"511",2021-11-10,12
"512",2021-11-11,9
"513",2021-11-12,14
"514",2021-11-13,10
"515",2021-11-14,8
"516",2021-11-15,16
"517",2021-11-16,8
"518",2021-11-17,23
"519",2021-11-18,43
"520",2021-11-19,12
"521",2021-11-20,7
"522",2021-11-21,5
"523",2021-11-22,10
"524",2021-11-23,16
"525",2021-11-24,5
"526",2021-11-25,9
"527",2021-11-26,10
"528",2021-11-27,2
"529",2021-11-28,3
"530",2021-11-29,7
"531",2021-11-30,12
"532",2021-12-01,4
"533",2021-12-02,12
"534",2021-12-03,8
"535",2021-12-04,1
"536",2021-12-05,9
"537",2021-12-06,4
"538",2021-12-07,2
"539",2021-12-08,12
"540",2021-12-09,9
"541",2021-12-10,5
"542",2021-12-11,5
"543",2021-12-12,3
"544",2021-12-13,10
"545",2021-12-14,15
"546",2021-12-15,7
"547",2021-12-16,2
"548",2021-12-17,5
"549",2021-12-18,7
"550",2021-12-19,4
"551",2021-12-20,3
"552",2021-12-21,11
"553",2021-12-22,2
"554",2021-12-23,5
"555",2021-12-24,2
"556",2021-12-25,6
"557",2021-12-26,2
"558",2021-12-27,8
"559",2021-12-28,7
"560",2021-12-29,9
"561",2021-12-30,10
"562",2021-12-31,6
"563",2022-01-01,3
"564",2022-01-02,10
"565",2022-01-03,8
"566",2022-01-04,8
"567",2022-01-05,4
"568",2022-01-06,4
"569",2022-01-07,4
"570",2022-01-08,1
"571",2022-01-09,2
"572",2022-01-10,3
"573",2022-01-11,27
"574",2022-01-12,24
"575",2022-01-13,15
"576",2022-01-14,10
"577",2022-01-15,13
"578",2022-01-16,8
"579",2022-01-17,11
"580",2022-01-18,3
"581",2022-01-19,15
"582",2022-01-20,19
"583",2022-01-21,10
"584",2022-01-22,10
"585",2022-01-23,11
"586",2022-01-24,3
"587",2022-01-25,5
"588",2022-01-26,10
"589",2022-01-27,9
"590",2022-01-28,1
"591",2022-01-29,7
"592",2022-01-30,26
"593",2022-01-31,10
"594",2022-02-01,7
"595",2022-02-02,10
"596",2022-02-03,4
"597",2022-02-04,5
"598",2022-02-05,6
"599",2022-02-06,5
"600",2022-02-07,15
"601",2022-02-08,10
"602",2022-02-09,41
"603",2022-02-10,19
"604",2022-02-11,19
"605",2022-02-12,24
"606",2022-02-13,14
"607",2022-02-14,11
"608",2022-02-15,15
"609",2022-02-16,13
"610",2022-02-17,9
"611",2022-02-18,10
"612",2022-02-19,8
"613",2022-02-20,19
"614",2022-02-21,9
"615",2022-02-22,8
"616",2022-02-23,16
"617",2022-02-24,19
"618",2022-02-25,10
"619",2022-02-26,9
"620",2022-02-27,14
"621",2022-02-28,6
"622",2022-03-01,12
"623",2022-03-02,10
"624",2022-03-03,7
"625",2022-03-04,5
"626",2022-03-05,5
"627",2022-03-06,3
"628",2022-03-07,8
"629",2022-03-08,16
"630",2022-03-09,5
"631",2022-03-10,17
"632",2022-03-11,15
"633",2022-03-12,7
"634",2022-03-13,14
"635",2022-03-14,21
"636",2022-03-15,19
"637",2022-03-16,6
"638",2022-03-17,21
"639",2022-03-18,8
"640",2022-03-19,6
"641",2022-03-20,30
"642",2022-03-21,16
"643",2022-03-22,23
"644",2022-03-23,22
"645",2022-03-24,18
"646",2022-03-25,8
"647",2022-03-26,3
"648",2022-03-27,7
"649",2022-03-28,4
"650",2022-03-29,10
"651",2022-03-30,10
"652",2022-03-31,3
"653",2022-04-01,7
"654",2022-04-02,16
"655",2022-04-03,17
"656",2022-04-04,9
"657",2022-04-05,7
"658",2022-04-06,7
"659",2022-04-07,13
"660",2022-04-08,8
"661",2022-04-09,6
"662",2022-04-10,10
"663",2022-04-11,5
"664",2022-04-12,9
"665",2022-04-13,15
"666",2022-04-14,9
"667",2022-04-15,4
"668",2022-04-16,9
"669",2022-04-17,8
"670",2022-04-18,1
"671",2022-04-19,4
"672",2022-04-20,10
"673",2022-04-21,13
"674",2022-04-22,20
"675",2022-04-23,14
"676",2022-04-24,30
"677",2022-04-25,31
"678",2022-04-26,29
"679",2022-04-27,39
"680",2022-04-28,40
"681",2022-04-29,16
"682",2022-04-30,22
"683",2022-05-01,18
"684",2022-05-02,26
"685",2022-05-03,33
"686",2022-05-04,28
"687",2022-05-05,15
"688",2022-05-06,13
"689",2022-05-07,21
"690",2022-05-08,7
"691",2022-05-09,8
"692",2022-05-10,19
"693",2022-05-11,5
"694",2022-05-12,6
"695",2022-05-13,15
"696",2022-05-14,6
"697",2022-05-15,7
"698",2022-05-16,10
"699",2022-05-17,8
"700",2022-05-18,12
"701",2022-05-19,28
"702",2022-05-20,19
"703",2022-05-21,15
"704",2022-05-22,20
"705",2022-05-23,16
"706",2022-05-24,64
"707",2022-05-25,34
"708",2022-05-26,12
"709",2022-05-27,34
"710",2022-05-28,27
"711",2022-05-29,12
"712",2022-05-30,39
"713",2022-05-31,41
"714",2022-06-01,39
"715",2022-06-02,23
"716",2022-06-03,18
"717",2022-06-04,21
"718",2022-06-05,22
"719",2022-06-06,11
"720",2022-06-07,19
"721",2022-06-08,29
"722",2022-06-09,11
"723",2022-06-10,28
"724",2022-06-11,15
"725",2022-06-12,28
"726",2022-06-13,10
"727",2022-06-14,12
"728",2022-06-15,27
"729",2022-06-16,43
"730",2022-06-17,65
"731",2022-06-18,79
"732",2022-06-19,58
"733",2022-06-20,44
"734",2022-06-21,34
"735",2022-06-22,20
"736",2022-06-23,14
"737",2022-06-24,25
"738",2022-06-25,25
"739",2022-06-26,16
"740",2022-06-27,40
"741",2022-06-28,13
"742",2022-06-29,27
"743",2022-06-30,36
"744",2022-07-01,22
"745",2022-07-02,8
"746",2022-07-03,15
"747",2022-07-04,26
"748",2022-07-05,29
"749",2022-07-06,36
"750",2022-07-07,13
"751",2022-07-08,12
"752",2022-07-09,22
"753",2022-07-10,31
"754",2022-07-11,32
"755",2022-07-12,36
"756",2022-07-13,31
"757",2022-07-14,27
"758",2022-07-15,22
"759",2022-07-16,33
"760",2022-07-17,39
"761",2022-07-18,53
"762",2022-07-19,39
"763",2022-07-20,36
"764",2022-07-21,32
"765",2022-07-22,20
"766",2022-07-23,84
"767",2022-07-24,52
"768",2022-07-25,48
"769",2022-07-26,60
"770",2022-07-27,44
"771",2022-07-28,53
"772",2022-07-29,72
"773",2022-07-30,52
"774",2022-07-31,41
"775",2022-08-01,48
"776",2022-08-02,43
"777",2022-08-03,45
"778",2022-08-04,35
"779",2022-08-05,36
"780",2022-08-06,34
"781",2022-08-07,26
"782",2022-08-08,33
"783",2022-08-09,30
"784",2022-08-10,29
"785",2022-08-11,33
"786",2022-08-12,41
"787",2022-08-13,23
"788",2022-08-14,22
"789",2022-08-15,44
"790",2022-08-16,38
"791",2022-08-17,29
"792",2022-08-18,53
"793",2022-08-19,33
"794",2022-08-20,53
"795",2022-08-21,44
"796",2022-08-22,24
"797",2022-08-23,17
"798",2022-08-24,25
"799",2022-08-25,28
"800",2022-08-26,30
"801",2022-08-27,41
"802",2022-08-28,30
"803",2022-08-29,48
"804",2022-08-30,39
"805",2022-08-31,31
"806",2022-09-01,29
"807",2022-09-02,25
"808",2022-09-03,33
"809",2022-09-04,29
"810",2022-09-05,38
"811",2022-09-06,12
"812",2022-09-07,20
"813",2022-09-08,21
"814",2022-09-09,66
"815",2022-09-10,49
"816",2022-09-11,22
"817",2022-09-12,28
"818",2022-09-13,22
"819",2022-09-14,30
"820",2022-09-15,26
"821",2022-09-16,26
"822",2022-09-17,16
"823",2022-09-18,23
"824",2022-09-19,28
"825",2022-09-20,35
"826",2022-09-21,31
"827",2022-09-22,36
"828",2022-09-23,34
"829",2022-09-24,29
"830",2022-09-25,27
"831",2022-09-26,27
"832",2022-09-27,19
"833",2022-09-28,19
"834",2022-09-29,24
"835",2022-09-30,17
"836",2022-10-01,29
"837",2022-10-02,37
"838",2022-10-03,20
"839",2022-10-04,24
"840",2022-10-05,18
"841",2022-10-06,20
"842",2022-10-07,7
"843",2022-10-08,12
"844",2022-10-09,13
"845",2022-10-10,30
"846",2022-10-11,12
"847",2022-10-12,27
"848",2022-10-13,12
"849",2022-10-14,8
"850",2022-10-15,39
"851",2022-10-16,77
"852",2022-10-17,41
"853",2022-10-18,18
"854",2022-10-19,6
"855",2022-10-20,25
"856",2022-10-21,52
"857",2022-10-22,38
"858",2022-10-23,48
"859",2022-10-24,21
"860",2022-10-25,16
"861",2022-10-26,34
"862",2022-10-27,21
"863",2022-10-28,18
"864",2022-10-29,22
"865",2022-10-30,17
"866",2022-10-31,45
"867",2022-11-01,23
"868",2022-11-02,13
"869",2022-11-03,33
"870",2022-11-04,27
"871",2022-11-05,20
"872",2022-11-06,20
"873",2022-11-07,17
"874",2022-11-08,27
"875",2022-11-09,9
"876",2022-11-10,3
"877",2022-11-11,20
"878",2022-11-12,21
"879",2022-11-13,9
"880",2022-11-14,11
"881",2022-11-15,11
"882",2022-11-16,13
"883",2022-11-17,11
"884",2022-11-18,14
"885",2022-11-19,21
"886",2022-11-20,13
"887",2022-11-21,18
"888",2022-11-22,18
"889",2022-11-23,10
"890",2022-11-24,24
"891",2022-11-25,24
"892",2022-11-26,24
"893",2022-11-27,19
"894",2022-11-28,11
"895",2022-11-29,13
"896",2022-11-30,19
"897",2022-12-01,21
"898",2022-12-02,12
"899",2022-12-03,16
"900",2022-12-04,15
"901",2022-12-05,69
"902",2022-12-06,93
"903",2022-12-07,60
"904",2022-12-08,58
"905",2022-12-09,47
"906",2022-12-10,45
"907",2022-12-11,55
"908",2022-12-12,38
"909",2022-12-13,41
"910",2022-12-14,34
"911",2022-12-15,40
"912",2022-12-16,28
"913",2022-12-17,29
"914",2022-12-18,25
"915",2022-12-19,23
"916",2022-12-20,19
"917",2022-12-21,42
"918",2022-12-22,55
"919",2022-12-23,43
"920",2022-12-24,11
"921",2022-12-25,8
"922",2022-12-26,22
"923",2022-12-27,28
"924",2022-12-28,62
"925",2022-12-29,59
"926",2022-12-30,40
"927",2022-12-31,30
"928",2023-01-01,33
"929",2023-01-02,44
"930",2023-01-03,25
"931",2023-01-04,43
"932",2023-01-05,37
"933",2023-01-06,39
"934",2023-01-07,37
"935",2023-01-08,64
"936",2023-01-09,45
"937",2023-01-10,41
"938",2023-01-11,35
"939",2023-01-12,42
"940",2023-01-13,48
"941",2023-01-14,50
"942",2023-01-15,43
"943",2023-01-16,127
"944",2023-01-17,182
"945",2023-01-18,164
"946",2023-01-19,159
"947",2023-01-20,110
"948",2023-01-21,117
"949",2023-01-22,95
"950",2023-01-23,108
"951",2023-01-24,127
"952",2023-01-25,95
"953",2023-01-26,90
"954",2023-01-27,71
"955",2023-01-28,74
"956",2023-01-29,91
"957",2023-01-30,100
"958",2023-01-31,114
"959",2023-02-01,121
"960",2023-02-02,112
"961",2023-02-03,94
"962",2023-02-04,99
"963",2023-02-05,101
"964",2023-02-06,77
"965",2023-02-07,56
"966",2023-02-08,49
"967",2023-02-09,72
"968",2023-02-10,49
"969",2023-02-11,43
"970",2023-02-12,41
"971",2023-02-13,64
"972",2023-02-14,85
"973",2023-02-15,60
"974",2023-02-16,41
"975",2023-02-17,60
"976",2023-02-18,97
"977",2023-02-19,167
"978",2023-02-20,110
"979",2023-02-21,88
"980",2023-02-22,62
"981",2023-02-23,77
"982",2023-02-24,72
"983",2023-02-25,63
"984",2023-02-26,49
"985",2023-02-27,80
"986",2023-02-28,126
"987",2023-03-01,105
"988",2023-03-02,48
"989",2023-03-03,96
"990",2023-03-04,73
"991",2023-03-05,77
"992",2023-03-06,84
"993",2023-03-07,74
"994",2023-03-08,97
"995",2023-03-09,92
"996",2023-03-10,70
"997",2023-03-11,62
"998",2023-03-12,60
"999",2023-03-13,38
"1000",2023-03-14,44
"1001",2023-03-15,55
"1002",2023-03-16,53
"1003",2023-03-17,61
"1004",2023-03-18,63
"1005",2023-03-19,69
"1006",2023-03-20,55
"1007",2023-03-21,56
"1008",2023-03-22,52
"1009",2023-03-23,48
"1010",2023-03-24,38
"1011",2023-03-25,25
"1012",2023-03-26,56
"1013",2023-03-27,107
"1014",2023-03-28,107
"1015",2023-03-29,73
"1016",2023-03-30,62
"1017",2023-03-31,65
"1018",2023-04-01,46
"1019",2023-04-02,59
"1020",2023-04-03,77
"1021",2023-04-04,52
"1022",2023-04-05,39
"1023",2023-04-06,45
"1024",2023-04-07,36
"1025",2023-04-08,28
"1026",2023-04-09,27
"1027",2023-04-10,46
"1028",2023-04-11,47
"1029",2023-04-12,41
"1030",2023-04-13,35
"1031",2023-04-14,31
"1032",2023-04-15,60
"1033",2023-04-16,45
"1034",2023-04-17,44
"1035",2023-04-18,45
"1036",2023-04-19,50
"1037",2023-04-20,39
"1038",2023-04-21,22
"1039",2023-04-22,35
"1040",2023-04-23,44
"1041",2023-04-24,41
"1042",2023-04-25,29
"1043",2023-04-26,40
"1044",2023-04-27,47
"1045",2023-04-28,49
"1046",2023-04-29,44
"1047",2023-04-30,78
"1048",2023-05-01,49
"1049",2023-05-02,39
"1050",2023-05-03,45
"1051",2023-05-04,38
"1052",2023-05-05,38
"1053",2023-05-06,44
"1054",2023-05-07,50
"1055",2023-05-08,65
"1056",2023-05-09,63
"1057",2023-05-10,40
"1058",2023-05-11,93
"1059",2023-05-12,79
"1060",2023-05-13,54
"1061",2023-05-14,45
"1062",2023-05-15,43
"1063",2023-05-16,45
"1064",2023-05-17,37
"1065",2023-05-18,43
"1066",2023-05-19,41
"1067",2023-05-20,43
"1068",2023-05-21,31
"1069",2023-05-22,35
"1070",2023-05-23,53
"1071",2023-05-24,37
"1072",2023-05-25,26
"1073",2023-05-26,25
"1074",2023-05-27,38
"1075",2023-05-28,38
"1076",2023-05-29,38
"1077",2023-05-30,41
"1078",2023-05-31,44
"1079",2023-06-01,46
"1080",2023-06-02,41
"1081",2023-06-03,28
"1082",2023-06-04,31
"1083",2023-06-05,51
"1084",2023-06-06,47
"1085",2023-06-07,51
"1086",2023-06-08,72
"1087",2023-06-09,31
"1088",2023-06-10,24
"1089",2023-06-11,27
"1090",2023-06-12,27
